timestamp,open,high,low,close,volume
2012-11-08,59.81,59.81,59.81,59.81,50
2012-11-20,59.81,60.27,60.27,60.27,50
2012-11-26,60.27,60.73,60.73,60.73,900
2013-01-20,60.73,59.66,59.35,59.35,20
2013-01-21,59.35,58.27,57.66,57.66,30
2013-01-22,57.66,56.74,56.43,56.43,70
2013-01-23,56.43,55.51,55.2,55.2,320
2013-01-24,55.2,54.59,54.59,54.59,50
2013-01-27,54.59,54.28,53.67,53.67,11297
2013-01-31,53.67,53.67,53.36,53.67,11370
2013-02-04,53.67,53.82,53.82,53.82,11250
2013-02-05,53.82,53.52,53.21,53.21,197
2013-02-13,53.21,53.52,53.52,53.52,11081
2013-02-14,53.52,53.67,53.67,53.67,11025
2013-03-19,53.67,53.67,53.67,53.67,7875
2013-03-21,53.67,53.52,53.52,53.52,246
2013-06-10,53.52,53.82,53.82,53.82,1350
2013-06-11,53.82,53.98,53.98,53.98,1350
2013-06-19,53.98,53.67,53.67,53.67,37
2013-07-02,53.67,53.82,53.82,53.82,2250
2013-07-22,53.82,53.98,53.98,53.98,2250
2013-07-23,53.98,53.98,53.98,53.98,2250
2013-08-08,53.98,53.67,53.67,53.67,123
2013-09-04,53.67,53.98,53.98,53.98,235
2013-09-05,53.98,53.98,53.98,53.98,190
2013-09-11,53.98,53.98,53.67,53.67,5067
2013-09-16,53.67,53.36,53.36,53.36,250
2013-09-17,53.36,53.67,53.06,53.67,22130
2013-09-24,53.67,53.98,53.98,53.98,10631
2013-12-08,53.98,54.9,54.28,54.9,372
2013-12-09,54.9,55.51,55.2,55.51,22476
2013-12-10,55.51,56.13,55.82,56.13,240
2013-12-11,56.13,56.43,56.43,56.43,123
2014-05-06,56.43,56.13,56.13,56.13,89538
2014-05-08,56.13,56.43,56.43,56.43,56
2014-05-11,56.43,57.05,56.74,57.05,6604
2014-05-13,57.05,56.74,56.43,56.43,12138
2014-05-18,56.43,57.35,56.74,57.35,12939
2014-05-19,57.35,57.05,56.43,56.43,50208
2014-06-01,56.43,56.74,56.74,56.74,56
2014-06-03,56.74,56.74,56.74,56.74,450
2014-06-18,56.74,56.43,56.43,56.43,225
2014-06-30,56.43,56.43,56.43,56.43,2250
2014-07-07,56.43,56.74,56.74,56.74,78
2014-07-08,56.74,57.35,57.05,57.35,358
2014-07-22,57.35,57.05,57.05,57.05,11238
2014-08-12,57.05,57.35,57.35,57.35,56
2014-08-18,57.35,57.51,57.51,57.51,15
2014-08-24,57.51,57.51,57.51,57.51,112
2014-08-25,57.51,58.27,57.81,58.27,224
2014-09-04,58.27,58.27,58.27,58.27,5624
2014-10-09,58.27,57.97,57.97,57.97,3864
2014-10-12,57.97,58.27,58.27,58.27,306
2014-10-14,58.27,58.58,58.27,58.58,4500
2014-10-15,58.58,58.27,58.27,58.27,310
2014-11-25,58.27,57.97,57.97,57.97,100
2014-12-08,57.97,59.81,58.27,59.81,27306
2014-12-10,59.81,59.81,59.81,59.81,100
2014-12-16,59.81,59.81,59.81,59.81,224
2014-12-18,59.81,60.27,60.27,60.27,56
2014-12-22,60.27,59.81,59.81,59.81,270
2015-01-14,59.81,60.73,60.27,60.73,76
2015-02-16,60.73,60.27,60.27,60.27,56
2015-02-19,60.27,60.73,60.73,60.73,50
2015-03-10,60.27,59.81,59.81,59.81,78
2015-03-12,59.81,60.27,60.27,60.27,78
2015-03-15,60.27,61.65,60.73,61.65,212
2015-03-18,61.65,63.49,62.11,63.49,672
2015-03-19,63.49,66.1,63.95,66.1,537
2015-03-22,66.1,66.1,66.1,66.1,112
2015-03-26,66.1,65.64,65.64,65.64,358
2015-06-08,65.64,66.1,66.1,66.1,100
2015-06-09,66.1,66.1,66.1,66.1,112
2015-06-10,66.1,65.95,65.95,65.95,112
2015-06-21,65.95,65.49,65.49,65.49,78
2015-06-28,65.03,65.03,65.03,65.03,112
2015-08-02,65.03,64.57,64.57,64.57,1687
2015-08-04,64.57,65.95,65.03,65.95,179
