timestamp,open,high,low,close,volume
2024-07-24,177.3,180.8,170.4,174.0,16535
2024-07-25,170.7,174.9,170.7,171.5,8035
2024-07-28,174.9,188.6,174.9,188.5,49945
2024-07-29,192.2,196.6,185.3,185.3,65230
2024-07-30,189.0,192.0,177.4,187.2,45460
2024-07-31,183.6,194.1,183.5,192.0,18715
2024-08-01,188.2,193.9,186.0,186.5,24450
2024-08-05,190.2,190.2,182.8,183.0,14914
2024-08-06,179.4,182.0,173.0,173.0,9905
2024-08-07,176.4,182.0,169.5,181.9,25181
2024-08-08,185.5,185.5,176.5,180.0,4060
2024-08-11,176.4,180.1,170.0,177.0,92816
2024-08-12,173.5,185.6,173.5,185.5,25544
2024-08-13,181.9,185.0,175.4,184.7,24329
2024-08-14,182.0,186.5,179.4,186.5,52305
2024-08-15,183.0,204.0,183.0,201.9,137756
2024-08-18,205.9,222.0,197.8,207.9,74906
2024-08-21,203.9,204.2,193.1,203.8,31185
2024-08-22,199.8,200.0,193.0,199.9,64211
2024-08-25,199.0,199.0,192.0,195.8,44805
2024-08-27,191.9,192.5,185.0,185.0,27528
2024-08-28,188.0,191.6,182.3,188.7,6247
2024-08-29,185.0,187.4,181.4,187.4,18309
2024-09-01,190.8,190.8,176.6,176.6,8520
2024-09-02,176.0,194.1,176.0,194.0,3866
2024-09-03,195.0,196.0,188.3,191.0,3945
2024-09-04,187.2,193.9,176.4,183.6,10655
2024-09-05,180.0,180.0,178.0,178.0,1204
2024-09-08,174.6,185.1,174.6,181.0,15038
2024-09-09,177.4,177.4,173.0,173.0,15892
2024-09-10,170.2,178.0,170.0,170.3,26784
2024-09-11,171.1,173.0,171.0,171.0,5092
2024-09-12,173.0,175.0,169.7,175.0,8360
2024-09-15,171.9,178.5,171.9,172.4,7708
2024-09-16,170.2,170.2,170.2,170.2,82000
2024-09-18,170.1,179.9,166.9,176.4,2752
2024-09-22,177.9,177.9,177.9,177.9,1000
2024-09-23,174.6,174.6,171.2,171.6,6613
2024-09-24,175.0,175.0,168.3,168.6,4695
2024-09-25,165.4,174.0,165.4,172.0,16399
2024-09-26,169.0,175.1,168.6,171.0,6520
2024-09-29,170.0,174.2,168.0,171.3,19934
2024-09-30,173.8,173.8,167.5,173.4,1080
2024-10-01,175.0,175.0,170.0,174.0,27536
2024-10-02,171.0,171.1,170.6,171.0,36497
2024-10-06,170.1,174.0,169.2,170.6,7000
2024-10-07,170.0,176.8,169.9,169.9,23372
2024-10-08,172.5,172.9,169.4,172.9,430
2024-10-09,172.0,175.0,171.2,172.0,8500
2024-10-15,175.4,175.4,171.4,171.4,3263
2024-10-16,174.8,178.2,171.6,178.0,31341
2024-10-17,175.1,182.0,175.1,179.0,23670
2024-10-20,179.0,186.8,177.0,178.5,12451
2024-10-21,175.1,178.8,175.1,175.6,32177
2024-10-22,172.7,179.1,172.7,178.0,12557
2024-10-23,175.0,178.5,174.5,176.9,5303
2024-10-24,173.4,173.4,172.4,172.4,346
2024-10-27,173.0,174.0,173.0,174.0,137
2024-10-28,171.2,172.0,171.1,171.1,14419
2024-10-29,174.5,175.0,171.7,175.0,1033
2024-10-30,171.6,174.9,171.6,174.8,20254
2024-11-06,172.2,175.6,172.0,172.0,25451
2024-11-10,169.4,175.0,169.4,175.0,18951
2024-11-11,178.0,178.0,173.3,173.3,5160
2024-11-12,173.0,175.8,172.7,174.0,13830
2024-11-13,172.1,172.1,171.5,172.0,3062
2024-11-14,170.0,173.0,170.0,171.1,15611
2024-11-17,171.5,175.9,171.5,175.9,9620
2024-11-19,174.9,174.9,170.2,170.2,13972
2024-11-20,169.1,173.4,169.0,173.4,13638
2024-11-21,171.0,173.0,165.3,173.0,29235
2024-11-24,170.0,174.3,170.0,170.0,3020
2024-11-25,169.0,178.0,169.0,174.5,2326
2024-11-26,177.4,177.9,171.0,171.0,15312
2024-11-27,171.0,174.0,171.0,174.0,1206
2024-11-28,171.1,171.1,171.1,171.1,2326
2024-12-01,174.3,174.3,170.9,171.0,2173
2024-12-02,168.3,173.0,168.0,173.0,11417
2024-12-03,170.0,174.0,169.9,174.0,635
2024-12-04,177.0,177.0,171.6,171.6,219
2024-12-08,169.0,169.0,168.2,168.5,3827
2024-12-09,170.5,170.5,168.0,170.2,1050
2024-12-10,167.3,170.5,167.2,169.0,12992
2024-12-11,168.1,169.3,167.6,169.0,4461
2024-12-12,167.0,172.0,167.0,172.0,1544
2024-12-16,168.6,168.6,166.0,166.0,7285
2024-12-17,169.3,169.3,166.0,166.0,2514
2024-12-18,168.5,169.0,165.9,165.9,630
2024-12-19,169.0,169.0,162.3,162.3,12581
2024-12-22,165.0,165.0,162.0,165.0,5764
2024-12-23,162.0,167.0,162.0,167.0,2820
2024-12-24,170.0,170.0,165.6,165.6,413
2024-12-26,163.0,168.5,162.3,166.1,20012
2024-12-29,164.0,167.1,160.1,167.1,4920
2024-12-31,167.1,167.1,167.1,167.1,29574
2025-01-01,163.8,165.0,163.8,165.0,1325
2025-01-02,167.0,167.0,162.0,163.0,1545
2025-01-05,160.1,163.3,160.1,163.3,450
2025-01-06,160.3,165.0,160.1,165.0,2432
2025-01-07,161.7,164.9,158.7,164.9,2447
2025-01-08,168.1,168.1,165.0,165.0,110
2025-01-09,165.0,165.0,159.0,159.0,14925
2025-01-12,162.1,162.1,160.0,160.0,900
