timestamp,open,high,low,close,volume
2025-09-01,252.2,267.5,252.2,267.5,60
2025-09-02,272.8,294.2,272.8,294.2,60
2025-09-03,289.7,323.6,289.7,323.6,110
2025-09-04,319.3,355.9,319.3,355.9,160
2025-09-07,355.0,391.4,355.0,391.4,230
2025-09-08,399.2,430.5,399.2,430.5,250
2025-09-18,439.0,473.5,439.0,473.5,290
2025-09-21,465.0,520.8,465.0,520.8,2380
2025-09-23,531.2,572.8,531.2,572.8,2710
2025-09-24,584.2,630.0,584.2,630.0,4010
2025-09-25,642.6,693.0,642.6,693.0,3810
2025-09-28,706.8,762.3,666.4,688.0,76236
2025-10-07,674.3,674.3,619.2,651.1,39857
2025-10-08,645.0,652.0,616.6,625.0,28090
2025-10-09,637.5,663.0,620.2,630.1,16468
2025-10-12,620.0,625.0,605.0,608.0,15730
2025-10-13,600.0,637.0,597.1,636.0,11440
2025-10-14,636.0,642.0,607.0,619.0,9370
2025-10-15,631.0,631.0,601.0,606.1,8176
2025-10-16,600.0,606.0,594.1,602.0,11442
2025-10-19,595.0,600.0,585.0,595.0,6556
2025-10-26,595.0,597.0,586.0,595.0,2055
2025-10-28,588.1,620.0,588.1,618.0,9500
2025-10-29,610.0,627.0,606.0,613.0,7080
2025-10-30,603.0,620.0,600.0,615.0,10128
2025-11-02,605.5,646.0,605.1,646.0,16879
2025-11-03,646.0,650.0,626.0,635.0,9340
2025-11-04,630.0,636.0,617.4,624.0,7138
2025-11-05,613.0,624.7,613.0,622.7,7197
2025-11-06,615.0,625.0,608.5,610.0,7848
