timestamp,open,high,low,close,volume
2019-03-24,253.55,253.55,228.2,228.2,230
2019-03-25,217.21,217.21,205.38,205.38,210
2019-03-26,195.23,195.23,185.09,185.09,320
2019-03-28,159.74,159.74,151.29,151.29,190
2019-03-31,144.52,144.52,136.92,136.92,220
2019-04-01,130.16,130.16,123.39,123.39,90
2019-04-02,117.48,117.48,111.56,111.56,160
2019-04-03,106.49,106.49,100.58,100.58,450
2019-04-04,96.35,96.35,91.28,91.28,1250
2019-04-07,87.05,87.05,82.83,82.83,23430
2019-04-09,78.6,81.14,77.76,79.45,17210
2019-04-10,78.6,79.45,77.76,79.45,11020
2019-04-11,80.29,81.14,77.76,79.45,9145
2019-04-15,78.6,79.45,76.07,78.6,7510
2019-04-16,77.76,78.6,75.22,76.07,12540
2019-04-18,79.45,79.45,76.07,76.91,5200
2019-04-21,76.07,77.76,76.07,76.91,10085
2019-04-22,76.91,77.76,76.07,76.91,12050
2019-04-23,76.07,77.76,76.07,76.91,7340
2019-04-24,76.07,76.91,74.37,76.07,8950
2019-04-25,75.22,79.45,74.37,79.45,12520
2019-04-28,77.76,83.67,75.22,81.14,15999
2019-04-29,77.76,84.52,76.91,84.52,7090
2019-04-30,80.29,83.67,76.07,82.83,8370
2019-05-02,81.98,86.21,76.91,86.21,33909
2019-05-05,81.98,82.83,79.45,81.14,9080
2019-05-06,77.76,81.98,77.76,78.6,6441
2019-05-07,77.76,83.67,77.76,80.29,8170
2019-05-08,81.14,81.98,78.6,79.45,7055
2019-05-09,78.6,80.29,77.76,79.45,3590
2019-05-12,78.6,79.45,76.91,76.91,6670
2019-05-13,76.07,81.98,76.07,80.29,11075
2019-05-14,80.29,80.29,78.6,80.29,3995
2019-05-15,80.29,81.14,77.76,79.45,5330
2019-05-16,78.6,80.29,77.76,78.6,5720
2019-05-19,79.45,80.29,77.76,78.6,7340
2019-05-20,77.76,80.29,77.76,77.76,7530
2019-05-21,76.91,81.98,76.91,80.29,14515
2019-05-22,81.14,86.21,81.14,84.52,51310
2019-05-23,82.83,86.21,79.45,81.14,20010
2019-05-26,81.14,81.14,79.45,81.14,6955
2019-05-27,81.14,81.14,79.45,79.45,3692
2019-05-28,80.29,81.98,78.6,81.98,27835
2019-05-29,81.14,84.52,79.45,81.14,4730
2019-05-30,84.52,84.52,79.45,80.29,6166
2019-06-02,81.14,84.52,78.6,84.52,38605
2019-06-03,84.52,85.36,81.14,81.98,17130
2019-06-04,82.83,82.83,78.6,80.29,4686
2019-06-06,79.45,82.83,78.6,82.83,3015
2019-06-10,81.98,81.98,77.76,77.76,16384
2019-06-11,78.6,80.29,76.91,77.76,17080
2019-06-12,76.91,78.6,76.91,77.76,4300
2019-06-13,76.91,79.45,76.91,78.6,3770
2019-06-16,78.6,78.6,76.91,77.76,5430
2019-06-17,78.6,79.45,76.91,77.76,10220
2019-06-18,81.14,81.14,76.91,76.91,3000
2019-06-19,76.91,78.6,76.91,76.91,3870
2019-06-20,76.91,77.76,76.91,77.76,2170
2019-06-23,78.6,78.6,76.91,77.76,3525
2019-06-24,77.76,78.6,76.91,77.76,4100
2019-06-25,76.91,78.6,76.91,77.76,3880
2019-06-26,76.91,77.76,76.91,76.91,2850
2019-06-27,76.91,77.76,76.91,77.76,3710
2019-06-30,76.07,77.76,76.07,76.91,3440
2019-07-01,76.91,76.91,76.07,76.07,8060
2019-07-02,76.07,77.76,76.07,77.76,5119
2019-07-03,78.6,79.45,78.6,78.6,150
2019-07-04,78.6,78.6,76.07,76.91,11310
2019-07-07,76.07,76.91,75.22,76.07,2810
2019-07-08,76.07,76.91,75.22,76.91,4040
2019-07-09,76.07,76.91,75.22,76.07,6610
2019-07-10,75.22,76.91,75.22,76.07,3910
2019-07-11,75.22,76.07,75.22,75.22,4590
2019-07-14,75.22,76.07,74.37,76.07,3770
2019-07-15,75.22,76.07,75.22,75.22,3830
2019-07-16,78.6,78.6,75.22,75.22,280
2019-07-17,75.22,77.76,75.22,76.91,6420
2019-07-18,76.91,76.91,75.22,75.22,1750
2019-07-21,76.07,76.07,74.37,74.37,3060
2019-07-22,75.22,76.07,74.37,75.22,2170
2019-07-23,75.22,76.07,74.37,75.22,4400
2019-07-24,75.22,76.07,74.37,75.22,4180
2019-07-25,74.37,75.22,73.53,73.53,6385
2019-07-31,73.53,75.22,73.53,75.22,4660
2019-08-01,74.37,74.37,72.68,73.53,13890
2019-08-04,73.53,74.37,72.68,72.68,4717
2019-08-05,72.68,74.37,72.68,74.37,3940
2019-08-06,74.37,75.22,72.68,73.53,3680
2019-08-07,74.37,74.37,72.68,74.37,2890
2019-08-08,73.53,73.53,72.68,72.68,1470
2019-08-11,72.68,75.22,71.84,74.37,4780
2019-08-12,73.53,73.53,71.84,72.68,3910
2019-08-13,72.68,72.68,70.99,71.84,3490
2019-08-14,70.99,72.68,70.99,71.84,1670
2019-08-15,70.99,71.84,70.15,70.15,8310
2019-08-18,69.3,70.15,68.46,69.3,10130
2019-08-19,69.3,70.99,67.61,70.99,3304
2019-08-20,70.99,70.99,67.61,69.3,2080
2019-08-21,68.46,69.3,66.77,69.3,3190
2019-08-22,68.46,70.15,66.77,70.15,1050
2019-08-25,69.3,69.3,66.77,66.77,1370
2019-08-26,67.61,67.61,65.08,65.08,4730
2019-08-27,65.08,67.61,65.08,65.92,1190
2019-08-28,65.92,66.77,65.08,65.92,1920
2019-08-29,65.08,66.77,65.08,65.08,2260
2019-09-01,65.08,65.92,64.23,64.23,2790
2019-09-02,63.39,65.92,62.54,62.54,3592
2019-09-03,63.39,68.46,63.39,68.46,11510
2019-09-04,69.3,74.37,69.3,70.99,12777
2019-09-05,71.84,72.68,69.3,71.84,1750
2019-09-08,70.99,70.99,65.92,65.92,2830
2019-09-09,66.77,68.46,65.08,67.61,1650
2019-09-10,66.77,66.77,65.08,65.08,1500
2019-09-11,65.92,66.77,64.23,65.08,2270
2019-09-12,64.23,65.08,63.39,64.23,4240
2019-09-15,64.23,64.23,63.39,63.39,3390
2019-09-16,63.39,64.23,62.54,64.23,2220
2019-09-17,65.08,65.92,63.39,64.23,69370
2019-09-18,64.23,66.77,63.39,66.77,960
2019-09-19,67.61,69.3,65.92,65.92,2340
2019-09-22,65.92,68.46,65.08,67.61,12296
2019-09-23,66.77,68.46,65.92,65.92,720
2019-09-24,65.92,67.61,65.92,66.77,4542
2019-09-26,65.08,66.77,65.08,65.92,2820
2019-09-29,65.92,66.77,65.08,65.08,2035
2019-09-30,65.08,65.92,64.23,65.08,790
2019-10-01,64.23,66.77,64.23,66.77,690
2019-10-02,65.92,67.61,65.92,66.77,410
2019-10-03,66.77,67.61,66.77,67.61,2060
2019-10-14,67.61,67.61,65.92,65.92,450
2019-10-15,65.92,65.92,65.92,65.92,1410
2019-10-16,65.08,68.46,65.08,67.61,2760
2019-10-17,67.61,67.61,65.92,65.92,1220
2019-10-21,65.92,66.77,64.23,65.92,1500
2019-10-22,65.92,65.92,64.23,65.08,1700
2019-10-23,65.92,65.92,65.08,65.92,1730
2019-10-24,65.08,66.77,64.23,64.23,3510
2019-10-31,63.39,65.08,62.54,63.39,2470
2019-11-03,64.23,64.23,62.54,62.54,1870
2019-11-04,61.7,63.39,61.7,62.54,705
2019-11-05,61.7,63.39,61.7,63.39,3110
2019-11-06,63.39,64.23,61.7,61.7,1530
2019-11-07,61.7,62.54,60.85,60.85,1560
2019-11-10,60.85,61.7,60.01,60.01,2503
2019-11-11,59.16,64.23,59.16,64.23,2790
2019-11-12,65.08,67.61,59.16,65.92,3000
2019-11-13,66.77,68.46,66.77,68.46,400
2019-11-14,68.46,69.3,65.08,65.92,1560
2019-11-17,65.92,68.46,60.01,62.54,5330
2019-11-18,63.39,64.23,59.16,59.16,12010
2019-11-19,60.01,63.39,60.01,62.54,4020
2019-11-20,63.39,63.39,61.7,61.7,2595
2019-11-21,60.85,62.54,60.01,60.85,1150
2019-11-24,60.01,61.7,60.01,60.85,2450
2019-11-25,61.7,62.54,60.01,61.7,3910
2019-11-26,60.85,62.54,60.01,60.85,3672
2019-11-27,60.85,62.54,60.85,62.54,2337
2019-11-28,63.39,63.39,60.85,61.7,1490
2019-12-01,60.85,60.85,60.01,60.85,900
2019-12-02,60.85,61.7,60.85,61.7,1460
2019-12-03,60.85,61.7,60.85,60.85,950
2019-12-04,60.85,61.7,60.85,60.85,1290
2019-12-05,60.85,62.54,60.01,61.7,3930
2019-12-08,60.85,61.7,60.85,61.7,1100
2019-12-09,60.85,63.39,60.01,63.39,1710
2019-12-10,64.23,65.08,64.23,65.08,40
2019-12-11,64.23,64.23,61.7,62.54,530
2019-12-12,62.54,65.92,60.85,64.23,6110
2019-12-15,63.39,63.39,61.7,61.7,2440
2019-12-16,60.85,61.7,60.01,61.7,13423
2019-12-17,60.85,61.7,60.01,60.85,2750
2019-12-18,60.85,61.7,60.01,61.7,4440
2019-12-19,60.85,60.85,60.01,60.85,3790
2019-12-22,60.01,61.7,60.01,61.7,2830
2019-12-23,61.7,63.39,61.7,61.7,2390
2019-12-24,60.85,62.54,60.85,61.7,910
2019-12-25,60.85,62.54,60.01,62.54,1450
2019-12-29,61.7,61.7,60.01,60.85,1130
2019-12-30,60.01,60.85,60.01,60.85,1210
2019-12-31,60.01,60.85,60.01,60.85,1950
2020-01-01,60.85,64.23,60.01,60.85,4310
2020-01-02,61.7,62.54,60.85,60.85,3050
2020-01-05,60.85,62.54,60.85,61.7,2460
2020-01-06,60.85,62.54,60.01,60.01,17590
2020-01-07,60.01,61.7,60.01,60.85,3655
