timestamp,open,high,low,close,volume
2012-01-01,39.49,39.49,39.04,39.26,1111
2012-01-02,39.26,40.16,39.49,40.16,551
2012-01-03,40.16,39.71,39.26,39.49,490
2012-01-04,39.49,39.49,39.04,39.26,3220
2012-01-05,39.26,39.26,38.82,39.04,775
2012-01-08,39.04,39.49,39.04,39.26,3240
2012-01-09,39.26,39.04,38.59,38.59,1710
2012-01-10,38.59,39.26,38.82,38.82,549
2012-01-11,38.82,38.82,38.59,38.82,2477
2012-01-12,38.82,38.82,38.37,38.82,3102
2012-01-16,38.82,38.82,38.59,38.59,1049
2012-01-17,38.59,39.26,38.37,39.04,866
2012-01-18,39.04,40.16,39.26,40.16,2190
2012-01-22,39.93,40.16,39.49,39.93,4484
2012-01-23,39.93,39.49,38.59,38.82,1650
2012-01-25,38.82,39.26,38.59,39.26,1170
2012-01-26,39.26,39.26,38.37,38.82,1060
2012-01-29,38.82,39.26,38.59,38.82,4200
2012-01-31,38.82,39.26,38.37,38.37,2291
2012-02-01,38.37,39.04,38.37,38.59,1833
2012-02-02,38.59,39.04,38.59,38.59,3946
2012-02-05,38.59,38.59,38.14,38.37,1611
2012-02-06,38.37,38.59,38.37,38.59,992
2012-02-07,38.59,38.37,37.7,38.37,2091
2012-02-08,38.37,38.37,38.14,38.37,386
2012-02-09,38.37,38.37,38.14,38.14,920
2012-02-12,38.14,38.14,37.92,38.14,1309
2012-02-13,38.14,38.59,37.7,37.92,1992
2012-02-14,37.92,38.37,37.7,38.14,1961
2012-02-15,38.14,38.59,38.37,38.59,276
2012-02-16,38.59,38.14,37.7,37.92,550
2012-02-21,37.92,38.14,37.92,38.14,631
2012-02-23,38.14,38.14,37.7,38.14,1230
2012-02-26,38.14,38.14,37.25,37.7,2747
2012-02-27,37.7,38.14,37.7,37.92,1285
2012-02-28,37.92,38.37,37.7,38.14,2204
2012-02-29,38.14,38.14,37.92,37.92,1030
2012-03-01,37.92,38.14,37.7,37.92,2300
2012-03-04,37.92,38.14,37.03,38.14,1451
2012-03-05,38.14,38.14,37.7,37.7,460
2012-03-06,37.7,37.7,37.25,37.25,2124
2012-03-11,37.25,37.47,37.25,37.47,754
2012-03-12,37.47,37.7,36.58,37.47,1022
2012-03-13,37.47,37.47,37.03,37.03,1321
2012-03-14,37.03,37.25,36.8,36.8,793
2012-03-15,36.8,36.8,36.36,36.8,842
2012-03-18,36.8,36.8,36.36,36.8,1003
2012-03-19,36.8,37.25,36.58,36.58,311
2012-03-20,36.58,36.8,36.36,36.36,4107
2012-03-21,36.36,37.47,36.36,37.03,1257
2012-03-25,37.03,37.47,36.58,37.47,920
2012-03-26,37.47,37.7,36.8,37.7,2082
2012-03-27,37.7,37.25,36.58,36.8,270
2012-03-28,36.8,37.47,37.03,37.47,1615
2012-03-29,37.47,37.92,37.25,37.25,1395
2012-04-01,37.25,37.47,37.25,37.47,1762
2012-04-02,37.47,37.47,37.03,37.25,1275
2012-04-03,37.25,37.47,37.47,37.47,680
2012-04-04,37.47,37.47,37.25,37.25,3550
2012-04-05,37.25,37.47,37.25,37.47,680
2012-04-08,37.47,37.47,37.25,37.47,1051
2012-04-09,37.47,37.7,37.25,37.47,921
2012-04-10,37.47,37.47,37.03,37.47,1313
2012-04-11,37.47,38.37,37.7,37.7,2180
2012-04-12,37.7,39.26,37.92,39.26,683
2012-04-15,39.26,41.5,39.71,41.28,2514
2012-04-16,41.28,43.96,41.72,43.96,833
2012-04-17,43.96,43.51,42.84,42.84,1789
2012-04-18,42.84,42.39,40.61,41.5,3301
2012-04-19,41.5,42.39,40.61,41.05,4668
2012-04-22,41.05,41.5,41.05,41.28,1560
2012-04-24,41.28,42.62,41.72,42.62,100
2012-04-25,42.62,43.96,43.96,43.96,70
2012-04-26,43.96,46.87,44.41,46.87,8831
2012-04-29,46.87,49.33,45.3,47.32,8923
2012-04-30,47.32,47.99,43.96,45.08,5694
2012-05-02,45.08,45.08,42.39,42.39,980
2012-05-03,42.39,43.29,42.84,43.29,241
2012-05-07,43.29,43.74,43.74,43.74,183
2012-05-08,43.74,45.53,44.18,45.53,2332
2012-05-09,45.53,46.87,43.51,45.53,7062
2012-05-10,45.53,45.53,42.62,44.86,11243
2012-05-13,44.86,44.41,42.84,43.29,3133
2012-05-14,43.29,42.84,40.83,41.72,5092
2012-05-15,41.72,44.41,42.17,44.41,696
2012-05-16,44.41,44.86,44.86,44.86,150
2012-05-17,44.86,46.64,45.3,45.3,6469
2012-05-20,45.3,45.53,43.74,44.86,6548
2012-05-21,44.86,46.2,44.63,44.86,3222
2012-05-22,44.86,45.75,43.51,45.75,8963
2012-05-23,45.75,45.3,43.51,43.51,905
2012-05-24,43.51,45.75,43.51,45.75,7754
2012-05-27,45.75,47.99,45.08,46.87,6836
2012-05-29,46.87,46.42,43.74,43.74,3959
2012-05-30,43.74,43.29,40.83,40.83,4480
2012-05-31,40.83,42.39,40.38,42.39,1231
